"MGnify ID","ENA accession","Biome","Name","Description","Samples","Analyses","Centre name"
"MGYS00005037","PRJNA277905","Skin","Human Skin Microbiome Metagenome","Human Skin Microbiome","106","106","BioProject"
"MGYS00001187","PRJEB14948","Skin","Microbiome samples derived from Buruli ulcer wounds and non-Buruli ulcer skin ulcerations","Background: Buruli ulcer (BU) is an infectious disease caused by Mycobacterium ulcerans and considered the third most prevalent mycobacterial disease in humans. This skin disease can affect the entire body surface, but primarily the lower extremities, with symptoms varying from nodules to ulcers. Secondary bacterial infections in open BU lesions are the main cause of pain, delayed healing and systemic illness, resulting in prolonged hospital stay. Thus understanding the diversity of bacteria in these open lesions is important for proper treatment. The normal skin flora is known to protect the host through commensal relationships, however, certain factors such as ulceration can shift the skin flora from being primarily commensal to potentially pathogenic. Therefore, the objective of this study was to characterize and compare the skin bacteria from BU ulcers, non-BU ulcers, and similar locations on the skin of healthy individuals. Results: Using 16S rRNA sequencing, we determined the microbial composition of 5 BU lesions, 3 non-BU lesions and 3 healthy skin samples, and compared these using a data analysis pipeline. Our results showed a lower bacterial diversity in both the BU and non-BU lesions compared to the healthy skin. However, no significant differences were found between BU and non-BU lesions. The BU lesions were characterized by an increase of Bacteroidetes compared to the non-BU wounds, which contained more (Gamma)Proteobacteria. Furthermore, the BU lesions also contained significantly more obligate anaerobes. All lesions contained a mixture of gram-positive and gram-negative bacteria, with more gram-negatives present in the BU and non-BU lesions than in healthy skin samples. With this molecular-based study, we were also able to detect bacteria, which were missed by culture-based methods in previous BU studies.Conclusions: Our study suggests that BU leads to changes in the bacterial community within the lesions. These changes are potentially detrimental and may cause a delay in the healing process. In order to determine if the alterations in Bacteroidetes were due to a specific wound environment, underlying pathophysiological conditions created by M. ulcerans, or associated with wound location on the body, further microbiome studies are necessary.","14","14","Institute of tropical medicine"
"MGYS00000518","PRJEB10133","Skin","These samples are selections from a larger cohort that were selected for the participation in the EBI metagenomics training in Sept. 2015","These samples are selections from a larger cohort that were selected for the participation in the EBI metagenomics training in Sept. 2015","10","10","GSTT BRC Bioinformatics"
"MGYS00005090","PRJEB33173","Naris","EMG produced TPA metagenomics fasta_path of the Longitudinal_Nasopharyngeal_Microbiome_Dynamics_in_Infants_from_the_Maela_ARI_Birth_Cohort (PRJEB25223) data set.","The PRJEB25223 Third Party Annotation (TPA) fasta_path was derived from the primary whole genome shotgun (WGS) data set: PRJEB25223.  This project includes samples from the following biomes: root:Host-associated:Human:Skin:Naris.","120","120","EMG"
"MGYS00000604","PRJNA46333","Skin","Gene-Environment Interactions at the Skin Surface","16S rRNA gene sequences amplified from subjects with eczema and age-matched healthy controls.  Microbes living in and on humans are ten times more numerous than human cells. Culture-based methods have been the primary techniques used to study microbes inhabiting humans; however, many species are not successfully grown in culture. The NIH Roadmap for Medical Research Human Microbiome Project (HMP) aims to investigate the microbes in the gastrointestinal tract, oral cavity, skin, vagina, and nares. The goal of the HMP is to comprehensively characterize the human microbiota and analyze its role in human health and disease.   The skin serves not only as a barrier against invading pathogens and moisture loss, but also as a host to microbial communities. The skin of an adult is an approximately 2 square meter surface with a myriad of microenvironments.  Atopic dermatitis (AD), more commonly known as eczema, is a common skin disorder that is exacerbated by Staphylococcus aureus colonization.  This study aims to investigate the skin microbiota of AD patients at specific timepoints (quiescence, disease flares, and post-treatment) to examine how disease state correlates with changes in the skin microflora.     The 16S small subunit ribosomal (rRNA) gene is present in every bacterial cell, serving as a universal marker. The gene is sufficiently conserved to allow accurate alignment but adequately varied to enable phylogenetic analyses. Sequencing via 16S rRNA-based phylotyping has been used to survey the bacterial microbes on the skin.  Initially, we will examine the bacterial diversity associated with AD using a 16S rRNA survey and later broadening to include fungi, viruses, archaea and mites. In addition, bacteria will be cultured on a wide variety of media and isolates representing both abundant and novel species will be selected for whole genome sequencing.  To characterize fungal diversity, we utilize two phylogenetic markers within the rDNA region: 18S rRNA and the Intervening Internal Transcribed Spacer (ITS) region.  Full microbial diversity will be explored with shotgun metagenomic sequencing.","2560","4385","NIAMS"
"MGYS00005034","PRJEB29894","Skin","EMG produced TPA metagenomics assembly of the Skin metagenomes (human skin metagenome) data set.","The human skin metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA281366.  This project includes samples from the following biomes: Host-associated, Human, Skin.","33","33","EMG"
"MGYS00003598","PRJEB25958","Skin","EMG produced TPA metagenomics assembly of the Human Skin Microbiome Metagenome (human skin metagenome) data set.","The human skin metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA277905.  This project includes samples from the following biomes: Host-associated, Human, Skin.","94","94","EMG"
"MGYS00002062","PRJEB22555","Skin","EMG produced TPA metagenomics assembly of the Identification of fungi and ameba from human wound genomic sequencing (human wound) data set","The human wound Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA344941. This project includes samples from the following biomes : Human skin.","13","21","EMG"
"MGYS00005098","PRJNA435265","Skin","Isolation and Identification of the Follicular Microbiome: Implications for Acne Research","In this study, we compare the both sequencing methods (16S vs. WGS) and collection methods (pore strip, glue strip, swab) to develop recommendations for collecting microbiome information for studies of acne vulgaris.","101","101","BioProject"
"MGYS00001295","PRJEB16723","Skin","Human skin bacterial and fungal microbiotas analyses","Using high-throughput 16S rDNA and ITS1 sequencing, we characterized skin bacterial and fungal microbiotas from healthy and dandruff subjects, comparing scalp and forehead (lesional and non-lesional skin sites).","96","96","Universidade Federal do ABC"
"MGYS00002072","PRJEB17696","Skin","Longitudinal study of the diabetic skin and wound microbiome","Background: Type II diabetes is a chronic health condition which is associated with skin conditions including chronic foot ulcers and an increased incidence of skin infections.  The skin microbiome is thought to play important roles in skin defence and immune functioning.  Diabetes affects the skin environment, and this may perturb skin microbiome with possible implications for skin infections and wound healing.  This study examines the skin and wound microbiome in type II diabetes. Results: Ten type II diabetic subjects with chronic foot ulcers were followed over a time course of 10 weeks, sampling from both foot skin (swabs) and wounds (swabs and debrided tissue) every two weeks. A control group of 8 non-diabetic subjects was also followed over 10 weeks, and skin swabs collected from the foot skin every two weeks.  The diabetic skin microbiome was significantly less diverse than non-diabetic skin.  Community composition was also significantly different between diabetic and non-diabetic skin, however the most abundant taxa were similar between groups, with differences driven by very low abundant members of the skin communities. Chronic wounds were generally colonized by the most dominant skin Staphylococcus, along with other taxa that generally different by patient. No significant correlations were found between wound duration or healing status and the abundance of any particular taxa, while wound size was positively correlated with the dominant skin Staphylococcus.   Conclusions: The major difference observed in this study of the skin microbiome associated with diabetes was a significant reduction in diversity.  The long-term effects of reduced diversity are not yet well understood, but are often associated with disease conditions.","258","258","The ithree institute"
"MGYS00005102","PRJEB26427","Skin","Understanding the microbial basis of body odor in teenagers and kids","Metagenomics samples of multiple skin sites (underarm, neck & head scalp) from teenagers and kids","179","179","P&G Singapore Innovation Center"
